n,seed,coef
500,0,0.02910045608057911
500,1,0.042292306275176134
500,2,0.045030544632074496
500,3,0.04152715995454315
500,4,0.04320209806531919
500,5,0.042679122697583116
500,6,0.04789453905448972
500,7,0.02997969891483986
500,8,0.043726626290940915
500,9,0.03834765938152074
500,10,0.044203061397117216
500,11,0.038315605008481794
500,12,0.0357920061485199
500,13,0.05631022151431497
500,14,0.0265846041336735
500,15,0.03054134245392388
500,16,0.03838221950896261
500,17,0.045833480030620044
500,18,0.04229090443999657
500,19,0.03918996713056161
1000,0,0.03627774639282099
1000,1,0.029869080440739118
1000,2,0.04204743108935758
1000,3,0.03614226337827668
1000,4,0.04633825382230183
1000,5,0.029946801172851936
1000,6,0.0435349295168518
1000,7,0.04389963296439731
1000,8,0.03928814903444314
1000,9,0.030428894200759088
1000,10,0.048284749164035176
1000,11,0.03812897646283846
1000,12,0.028303275361178784
1000,13,0.025318592219743342
1000,14,0.04466446173578109
1000,15,0.03613889160113125
1000,16,0.042328010516684916
1000,17,0.04333385607598859
1000,18,0.03751864966561494
1000,19,0.043264695081297336
2000,0,0.045049454211626615
2000,1,0.045608720747293566
2000,2,0.04459669075487718
2000,3,0.04094501020210406
2000,4,0.036765186128271246
2000,5,0.03648013706418001
2000,6,0.03525677694771116
2000,7,0.03542267801211399
2000,8,0.04090333972343438
2000,9,0.043299969819464317
2000,10,0.04293724095934048
2000,11,0.04118650048825962
2000,12,0.041660099699807135
2000,13,0.03677072973292613
2000,14,0.04317071289848592
2000,15,0.033578757516922846
2000,16,0.03565785394710883
2000,17,0.03035049739135845
2000,18,0.0352058713995316
2000,19,0.03907476278275235
5000,0,0.038396867938834164
5000,1,0.033829310428936964
5000,2,0.03890219452723254
5000,3,0.04170931938444139
5000,4,0.035631156111526056
5000,5,0.03757650942808939
5000,6,0.03792011694796332
5000,7,0.04027535985218832
5000,8,0.03870997109648424
5000,9,0.04567935249239558
5000,10,0.036788890400001203
5000,11,0.037933644427521084
5000,12,0.04195543304173591
5000,13,0.03514732561696583
5000,14,0.036665353934728105
5000,15,0.03763981432943951
5000,16,0.04135035548931656
5000,17,0.03526059006339291
5000,18,0.03979180675449287
5000,19,0.036514514901390516
10000,0,0.03712398262249528
10000,1,0.04055703402032278
10000,2,0.03865096054943251
10000,3,0.03795550060054198
10000,4,0.03590638725752215
10000,5,0.039617646829285764
10000,6,0.035811429814114976
10000,7,0.04365779896799718
10000,8,0.03872754019422804
10000,9,0.0357949508462733
10000,10,0.033401680652893145
10000,11,0.04452269021223416
10000,12,0.03852664834773446
10000,13,0.034478531123340234
10000,14,0.03829145160968555
10000,15,0.038522637932455514
10000,16,0.03487510143471015
10000,17,0.03932593005186229
10000,18,0.037637493423026344
10000,19,0.040768684927830166
30000,0,0.03938875140540921
30000,1,0.03761918384606814
30000,2,0.03920255385734558
30000,3,0.03748104536536139
30000,4,0.03818013799328249
30000,5,0.0398822540472068
30000,6,0.038237497022593915
30000,7,0.04072339510964284
30000,8,0.037703446413585584
30000,9,0.038790217749521946
30000,10,0.03977789180880425
30000,11,0.03860752998787092
30000,12,0.03815291249996415
30000,13,0.03967342338753977
30000,14,0.03859601238547243
30000,15,0.037581019327536394
30000,16,0.036120861950787245
30000,17,0.03928456666308789
30000,18,0.03801619156267006
30000,19,0.0367870287461789
100000,0,0.03929752525541087
100000,1,0.03698237664703057
100000,2,0.039360175393932856
100000,3,0.03842452704633228
100000,4,0.038744088431531785
100000,5,0.03775040466427568
100000,6,0.03731546274362205
100000,7,0.03905760566086486
100000,8,0.03889477490318452
100000,9,0.03829019249280082
100000,10,0.038477135452411715
100000,11,0.03852812426505786
100000,12,0.037694257756703764
100000,13,0.038435633771588075
100000,14,0.0383621105218617
100000,15,0.038289414740781715
100000,16,0.038106922488829506
100000,17,0.03808165549495839
100000,18,0.03826644815318284
100000,19,0.03899048947905968
300000,0,0.038772893603927584
300000,1,0.03871065274239824
300000,2,0.03885262612540977
300000,3,0.03835747672622477
300000,4,0.039334142204649106
300000,5,0.03906464476893466
300000,6,0.038197114238129944
300000,7,0.039115400043257656
300000,8,0.038276759064388224
300000,9,0.03848587705058711
300000,10,0.03879188840915743
300000,11,0.0380049222916428
300000,12,0.03833747690057877
300000,13,0.039095341892852874
300000,14,0.03887857539017285
300000,15,0.038690956013280535
300000,16,0.038237599699971765
300000,17,0.03869665590733787
300000,18,0.03872260386076904
300000,19,0.038627676450453494
